interaction_id,taskid,userid,completion,like
0,0,0,1,False
1,1,0,0,False
2,2,0,0,False
3,3,0,0,False
4,4,0,0,False
5,5,0,0,False
6,12,0,0,True
7,13,0,0,True
8,14,0,0,False
9,15,0,1,False
10,16,0,0,True
11,17,0,1,False
12,18,0,0,False
13,19,0,0,True
14,20,0,0,False
15,21,0,0,True
16,22,0,1,True
17,23,0,0,False
18,24,0,1,True
19,25,0,1,False
20,26,0,0,False
21,27,0,0,False
22,28,0,1,False
23,29,0,1,False
24,30,0,0,False
25,31,0,0,False
26,32,0,0,True
27,33,0,0,False
28,34,0,0,True
29,35,0,1,True
30,36,0,1,False
31,37,0,1,True
32,38,0,1,False
33,39,0,0,False
34,40,0,1,True
35,41,0,0,False
36,42,0,1,False
37,43,0,1,True
38,44,0,0,True
39,45,0,0,True
40,46,0,0,True
41,47,0,0,False
42,48,0,1,False
43,49,0,1,False
44,50,0,1,True
45,51,0,0,True
46,52,0,0,True
47,53,0,0,True
48,54,0,0,False
49,55,0,0,False
50,56,0,1,False
51,57,0,1,False
52,58,0,1,True
53,59,0,0,False
54,60,0,0,False
55,61,0,0,False
56,62,0,1,True
57,63,0,0,True
58,64,0,0,True
59,65,0,0,False
60,0,1,0,False
61,1,1,1,False
62,2,1,1,False
63,3,1,1,False
64,4,1,1,False
65,5,1,1,False
66,6,1,0,False
67,7,1,0,True
68,8,1,0,False
69,9,1,0,True
70,10,1,0,True
71,11,1,0,False
72,12,1,0,False
73,13,1,0,False
74,14,1,0,True
75,15,1,1,True
76,16,1,1,False
77,17,1,0,True
78,18,1,0,True
79,19,1,1,True
80,20,1,1,True
81,21,1,1,False
82,22,1,0,False
83,23,1,0,True
84,33,1,0,False
85,34,1,0,False
86,35,1,0,True
87,36,1,0,False
88,37,1,0,True
89,38,1,0,False
90,39,1,1,False
91,40,1,0,False
92,41,1,0,True
93,42,1,1,False
94,43,1,1,False
95,44,1,0,False
96,45,1,0,False
97,46,1,0,True
98,47,1,0,False
99,48,1,0,True
100,49,1,1,False
101,50,1,1,False
102,51,1,1,False
103,52,1,0,False
104,53,1,0,False
105,54,1,1,False
106,55,1,0,False
107,56,1,0,True
108,57,1,0,False
109,58,1,0,False
110,59,1,0,True
111,60,1,0,True
112,61,1,0,False
113,62,1,0,True
114,63,1,0,False
115,64,1,0,False
116,65,1,0,True
117,6,2,1,False
118,7,2,1,False
119,8,2,0,False
120,9,2,0,True
121,10,2,1,False
122,11,2,1,True
123,12,2,0,True
124,13,2,0,True
125,14,2,0,True
126,15,2,0,True
127,16,2,0,False
128,17,2,0,True
129,18,2,0,True
130,19,2,0,True
131,20,2,0,False
132,21,2,1,True
133,22,2,1,False
134,23,2,1,False
135,24,2,0,True
136,25,2,0,False
137,26,2,0,True
138,27,2,0,False
139,28,2,0,False
140,29,2,1,False
141,30,2,1,False
142,31,2,0,True
143,32,2,0,True
144,33,2,0,True
145,34,2,0,True
146,35,2,1,True
147,36,2,0,False
148,37,2,1,False
149,38,2,1,False
150,39,2,0,False
151,40,2,0,False
152,41,2,0,False
153,42,2,0,False
154,43,2,0,False
155,44,2,0,False
156,45,2,0,False
157,46,2,0,True
158,47,2,1,False
159,48,2,0,False
160,49,2,0,True
161,50,2,1,True
162,51,2,1,False
163,52,2,1,True
164,53,2,0,True
165,54,2,0,False
166,55,2,0,False
167,56,2,0,True
168,57,2,0,False
169,58,2,0,False
170,59,2,0,True
171,60,2,1,True
172,61,2,1,False
173,62,2,1,True
174,63,2,1,True
175,64,2,1,True
176,65,2,0,False
177,0,3,0,False
178,1,3,0,False
179,2,3,0,False
180,3,3,0,False
181,4,3,0,True
182,5,3,0,False
183,6,3,1,False
184,7,3,1,True
185,8,3,1,False
186,9,3,1,False
187,10,3,1,False
188,11,3,1,False
189,12,3,1,False
190,13,3,1,False
191,14,3,0,True
192,15,3,0,True
193,16,3,0,False
194,17,3,1,True
195,18,3,1,True
196,19,3,1,False
197,20,3,1,True
198,21,3,0,True
199,22,3,1,True
200,23,3,0,False
201,33,3,1,True
202,34,3,0,True
203,35,3,0,True
204,36,3,0,True
205,37,3,0,False
206,38,3,0,False
207,39,3,0,True
208,40,3,0,False
209,41,3,0,True
210,42,3,0,False
211,43,3,0,False
212,44,3,0,False
213,45,3,1,False
214,46,3,1,False
215,47,3,1,False
216,48,3,1,False
217,49,3,0,False
218,50,3,0,False
219,51,3,0,False
220,52,3,1,True
221,53,3,1,False
222,54,3,0,True
223,55,3,1,True
224,56,3,0,False
225,57,3,1,True
226,58,3,0,True
227,59,3,1,True
228,60,3,1,False
229,61,3,0,False
230,62,3,0,False
231,63,3,0,False
232,64,3,0,False
233,65,3,0,True
234,0,4,1,True
235,1,4,0,False
236,2,4,0,True
237,3,4,0,True
238,4,4,1,False
239,5,4,1,True
240,6,4,0,False
241,7,4,0,True
242,8,4,0,False
243,9,4,0,False
244,10,4,0,False
245,11,4,0,False
246,12,4,0,False
247,13,4,1,False
248,14,4,0,False
249,15,4,0,True
250,16,4,0,False
251,17,4,0,True
252,18,4,0,True
253,19,4,0,True
254,20,4,1,True
255,21,4,0,False
256,22,4,0,True
257,23,4,0,False
258,33,4,0,False
259,34,4,0,False
260,35,4,1,True
261,36,4,0,False
262,37,4,0,True
263,38,4,0,True
264,39,4,1,False
265,40,4,1,False
266,41,4,1,False
267,42,4,1,False
268,43,4,1,False
269,44,4,1,False
270,45,4,1,True
271,46,4,0,False
272,47,4,1,True
273,48,4,1,True
274,49,4,0,False
275,50,4,0,False
276,51,4,0,True
277,52,4,0,False
278,53,4,0,False
