interaction_id,taskid,userid,completion
0,0,0,1
1,1,0,1
2,2,0,0
3,6,0,0
4,9,0,1
5,10,0,0
6,11,0,1
7,12,0,0
8,15,0,0
9,16,0,0
10,18,0,0
11,21,0,1
12,22,0,1
13,24,0,0
14,25,0,0
15,26,0,0
16,28,0,1
17,29,0,0
18,32,0,0
19,34,0,0
20,36,0,0
21,38,0,0
22,39,0,0
23,41,0,1
24,44,0,1
25,49,0,0
26,54,0,0
27,55,0,1
28,56,0,0
29,57,0,0
30,59,0,1
31,60,0,1
32,61,0,1
33,62,0,0
34,64,0,0
35,65,0,0
36,66,0,0
37,68,0,0
38,69,0,1
39,70,0,0
40,71,0,0
41,72,0,1
42,73,0,0
43,74,0,0
44,77,0,0
45,79,0,0
46,80,0,0
47,83,0,1
48,84,0,1
49,86,0,0
50,87,0,0
51,88,0,1
52,89,0,1
53,91,0,0
54,93,0,1
55,94,0,1
56,95,0,0
57,96,0,0
58,97,0,0
59,1,1,0
60,2,1,1
61,3,1,1
62,4,1,1
63,6,1,0
64,7,1,0
65,10,1,0
66,11,1,0
67,12,1,0
68,13,1,1
69,17,1,0
70,19,1,0
71,20,1,0
72,21,1,0
73,22,1,0
74,23,1,0
75,24,1,1
76,25,1,0
77,26,1,1
78,34,1,1
79,35,1,0
80,36,1,1
81,38,1,0
82,39,1,1
83,40,1,1
84,41,1,0
85,42,1,1
86,43,1,0
87,44,1,1
88,47,1,0
89,48,1,1
90,49,1,1
91,51,1,1
92,53,1,0
93,55,1,1
94,58,1,0
95,59,1,1
96,60,1,0
97,61,1,0
98,62,1,0
99,63,1,0
100,64,1,0
101,66,1,0
102,68,1,0
103,70,1,1
104,71,1,0
105,72,1,0
106,73,1,0
107,75,1,1
108,76,1,1
109,78,1,0
110,81,1,1
111,82,1,0
112,83,1,1
113,85,1,0
114,87,1,0
115,88,1,0
116,94,1,1
117,96,1,0
118,97,1,0
119,3,2,0
120,6,2,0
121,7,2,1
122,8,2,1
123,9,2,1
124,11,2,0
125,12,2,0
126,13,2,0
127,14,2,1
128,15,2,0
129,16,2,0
130,17,2,0
131,18,2,0
132,20,2,0
133,22,2,1
134,23,2,0
135,24,2,1
136,26,2,1
137,27,2,1
138,28,2,1
139,31,2,1
140,32,2,0
141,37,2,1
142,38,2,1
143,43,2,0
144,46,2,0
145,47,2,0
146,48,2,1
