interaction_id,taskid,userid,completion,like
0,0,0,0,0
1,2,0,1,0
2,4,0,0,0
3,7,0,0,0
4,8,0,1,0
5,10,0,0,1
6,16,0,0,1
7,18,0,0,1
8,19,0,0,1
9,20,0,0,1
10,21,0,0,0
11,23,0,1,1
12,25,0,1,0
13,26,0,1,0
14,27,0,1,0
15,29,0,1,0
16,30,0,0,1
17,32,0,0,0
18,33,0,1,0
19,35,0,0,1
20,36,0,0,0
21,38,0,0,0
22,39,0,1,1
23,41,0,0,1
24,42,0,0,0
25,44,0,1,0
26,45,0,1,1
27,48,0,1,1
28,49,0,1,1
29,50,0,0,0
30,51,0,0,1
31,52,0,0,1
32,53,0,0,1
33,56,0,0,1
34,58,0,0,0
35,59,0,1,1
36,60,0,0,0
37,62,0,0,0
38,63,0,1,1
39,64,0,0,0
40,65,0,0,0
41,66,0,0,1
42,67,0,0,0
43,68,0,1,0
44,72,0,1,1
45,75,0,1,1
46,77,0,0,0
47,79,0,0,1
48,81,0,1,0
49,83,0,0,0
50,84,0,1,0
51,85,0,1,0
52,87,0,0,1
53,88,0,0,0
54,89,0,0,1
55,91,0,0,0
56,92,0,0,1
57,93,0,0,1
58,95,0,0,0
59,96,0,0,1
60,97,0,0,0
61,0,1,1,1
62,1,1,0,1
63,2,1,0,0
64,4,1,0,0
65,5,1,0,1
66,7,1,1,1
67,8,1,0,0
68,9,1,1,0
69,10,1,0,0
70,11,1,0,0
71,12,1,0,0
72,13,1,0,1
73,14,1,0,1
74,15,1,1,0
75,16,1,0,1
76,17,1,0,1
77,21,1,1,0
78,22,1,1,0
79,23,1,0,0
80,24,1,1,0
81,26,1,0,1
82,27,1,0,0
83,28,1,0,0
84,30,1,1,1
85,33,1,1,0
86,35,1,1,1
87,37,1,0,0
88,41,1,1,1
89,42,1,1,0
90,43,1,0,1
91,44,1,0,0
92,45,1,0,0
93,48,1,0,1
94,49,1,0,0
95,52,1,0,0
96,54,1,1,0
97,57,1,0,0
98,61,1,0,1
99,62,1,0,0
100,63,1,0,0
101,64,1,0,0
102,65,1,0,1
103,66,1,0,1
104,67,1,0,0
105,68,1,0,1
106,72,1,0,0
107,73,1,0,0
108,76,1,0,1
109,77,1,0,1
110,78,1,0,1
111,79,1,1,1
112,80,1,1,0
113,81,1,0,0
114,84,1,1,1
115,85,1,0,0
116,88,1,1,1
117,93,1,1,1
